Time,Light,ECG,Temp,OXI,Battery Voltage (mV)
17206,353.0,49.0,24.25,3477.0,464.00,3450.0
17272,353.0,49.0,24.25,3497.0,464.00,3406.0
17341,353.0,49.0,24.25,3508.0,464.00,3358.0
17407,353.0,49.0,24.25,3505.0,464.00,3300.0
17472,353.0,49.0,24.25,3484.0,464.00,3229.0
17538,353.0,49.0,24.25,3446.0,464.00,3185.0
17604,354.0,49.0,24.25,3400.0,464.00,3148.0
17669,354.0,49.0,24.25,3349.0,464.00,3112.0
17739,353.0,49.0,24.25,3291.0,464.00,3089.0
17804,354.0,49.0,24.25,3236.0,464.00,3086.0
17870,353.0,49.0,24.25,3193.0,464.00,3090.0
17936,353.0,49.0,24.25,3154.0,464.00,3106.0
18001,353.0,49.0,24.25,3130.0,464.00,3124.0
18070,353.0,49.0,24.25,3112.0,464.00,3143.0
18136,353.0,49.0,24.25,3095.0,464.00,3169.0
18202,353.0,49.0,24.25,3082.0,464.00,3204.0
18267,353.0,49.0,24.25,3089.0,464.00,3280.0
18332,353.0,49.0,24.25,3116.0,464.00,3359.0
18402,353.0,49.0,24.25,3172.0,464.00,3424.0
18468,353.0,49.0,24.25,3252.0,464.00,3484.0
18533,353.0,49.0,24.25,3336.0,464.00,3498.0
18599,352.0,49.0,24.25,3421.0,464.00,3484.0
18664,352.0,49.0,24.25,3483.0,464.00,3409.0
18730,352.0,49.0,24.25,3500.0,464.00,3320.0
18795,352.0,49.0,24.25,3464.0,464.00,3211.0
18861,352.0,49.0,24.25,3375.0,464.00,3122.0
18932,352.0,49.0,24.25,3291.0,464.00,3080.0
18996,352.0,49.0,24.25,3194.0,464.00,3072.0
19061,353.0,49.0,24.25,3110.0,464.00,3109.0
19127,353.0,49.0,24.25,3072.0,464.00,3183.0
19193,353.0,49.0,24.25,3081.0,464.00,3286.0
19258,353.0,49.0,24.25,3128.0,464.00,3382.0
19324,353.0,49.0,24.25,3211.0,464.00,3455.0
19389,352.0,49.0,24.25,3317.0,464.00,3498.0
19459,352.0,49.0,24.25,3416.0,464.00,3473.0
19525,352.0,49.0,24.25,3473.0,464.00,3412.0
19590,353.0,49.0,24.25,3504.0,464.00,3317.0
19655,355.0,49.0,24.25,3477.0,464.00,3240.0
19730,355.0,49.0,24.25,3430.0,464.00,3175.0
19801,355.0,49.0,24.25,3387.0,464.00,3131.0
19852,355.0,49.0,24.25,3315.0,464.00,3088.0
19922,355.0,49.0,24.25,3220.0,464.00,3076.0
19987,355.0,49.0,24.25,3154.0,464.00,3093.0
20053,356.0,48.0,24.25,3103.0,464.00,3130.0
20118,356.0,49.0,24.25,3077.0,464.00,3194.0
20184,356.0,49.0,24.25,3081.0,464.00,3269.0
20250,356.0,49.0,24.25,3120.0,464.00,3366.0
20319,356.0,49.0,24.25,3172.0,464.00,3427.0
20384,355.0,49.0,24.25,3265.0,464.00,3487.0
20450,355.0,49.0,24.25,3362.0,464.00,3492.0
20516,354.0,49.0,24.25,3442.0,464.00,3466.0
20581,354.0,49.0,24.25,3485.0,464.00,3392.0
20648,354.0,49.0,24.25,3496.0,464.00,3292.0
20712,354.0,49.0,24.25,3452.0,464.00,3193.0
20778,354.0,49.0,24.25,3376.0,464.00,3120.0
20843,355.0,49.0,24.25,3274.0,464.00,3069.0
20913,355.0,49.0,24.25,3165.0,464.00,3076.0
20978,355.0,49.0,24.25,3091.0,464.00,3128.0
21044,356.0,49.0,24.25,3072.0,464.00,3216.0
21109,356.0,49.0,24.25,3088.0,464.00,3312.0
21175,356.0,49.0,24.25,3153.0,464.00,3416.0
21306,355.0,49.0,24.25,3337.0,464.00,3500.0
21371,355.0,49.0,24.25,3429.0,464.00,3472.0
21441,355.0,49.0,24.25,3489.0,464.00,3416.0
21507,354.0,49.0,24.25,3505.0,464.00,3349.0
21579,354.0,49.0,24.25,3511.0,464.00,3304.0
21638,354.0,49.0,24.25,3496.0,464.00,3252.0
21703,354.0,49.0,24.25,3476.0,464.00,3217.0
21773,354.0,49.0,24.25,3456.0,464.00,3193.0
21839,354.0,49.0,24.25,3441.0,464.00,3177.0
21904,354.0,49.0,24.25,3409.0,464.00,3147.0
21970,355.0,49.0,24.25,3363.0,464.00,3119.0
22035,354.0,49.0,24.25,3313.0,464.00,3099.0
22105,355.0,49.0,24.25,3273.0,464.00,3090.0
22170,355.0,49.0,24.25,3225.0,464.00,3086.0
22236,355.0,49.0,24.25,3185.0,464.00,3091.0
22301,355.0,49.0,24.25,3136.0,464.00,3111.0
22367,355.0,49.0,24.25,3106.0,464.00,3144.0
22443,356.0,49.0,24.25,3082.0,464.00,3191.0
22502,355.0,48.0,24.25,3081.0,464.00,3249.0
22568,356.0,49.0,24.25,3106.0,464.00,3336.0
22633,356.0,49.0,24.25,3153.0,464.00,3412.0
22699,356.0,49.0,24.25,3219.0,464.00,3460.0
22764,356.0,49.0,24.25,3301.0,464.00,3498.0
22834,355.0,49.0,24.25,3400.0,464.00,3488.0
22899,355.0,49.0,24.25,3463.0,464.00,3455.0
22965,354.0,49.0,24.25,3493.0,464.00,3387.0
23030,354.0,49.0,24.25,3500.0,464.00,3301.0
